Erskineville - Eveleigh,Car - as passenger,119,2.3234,149,3.5251,117,3.6713,81,3.7957,98,5.0081
Erskineville - Eveleigh,Truck,3,0.0587,6,0.1418,7,0.2045,0,0,0,0
Erskineville - Eveleigh,Truck,3,0.1762,6,0.4254,7,0.6135,0,0,0,0
Erskineville - Eveleigh,Motorbike,128,2.5025,48,1.1321,17,0.5222,26,1.2041,19,0.9874
Erskineville - Eveleigh,Bicycle,277,5.422,125,2.9626,99,3.1176,39,1.8108,25,1.2571
Erskineville - Eveleigh,Walked only,378,7.397,331,7.8254,210,6.6191,168,7.8924,205,10.4489
Erskineville - Eveleigh,Other,25,0.4845,38,0.8969,31,0.9721,20,0.9501,23,1.1452
Erskineville - Eveleigh,Worked at home,189,3.7054,129,3.05,81,2.5325,79,3.7016,52,2.6415
Erskineville - Eveleigh,Did not go to work,350,6.846,337,7.966,257,8.0945,197,9.2752,153,7.7769
Erskineville - Eveleigh,Not stated,31,0.6029,22,0.52,33,1.0476,29,1.3546,46,2.331
Erskineville - Eveleigh,Total employed persons aged 15+,5109,100,4231,100,3179,100,2126,100,1965,100
Glebe - Forest Lodge,Train,568,7.4698,426,6.2767,553,8.1026,448,6.5822,384,5.9158
Glebe - Forest Lodge,Bus,1597,21.0021,1468,21.6296,1571,23.0308,1501,22.0453,1571,24.2245
Glebe - Forest Lodge,Tram or Ferry,67,0.8811,87,1.2819,97,1.4264,3,0.0441,6,0.0925
Glebe - Forest Lodge,Taxi,126,1.657,69,1.0166,98,1.4367,127,1.864,149,2.2973
Glebe - Forest Lodge,Car - as driver,2012,26.4598,2020,29.7628,1990,29.1719,2290,33.6423,1956,30.1588
Glebe - Forest Lodge,Car - as passenger,202,2.6565,219,3.2268,266,3.8995,302,4.4405,294,4.5328
Glebe - Forest Lodge,Truck,12,0.1578,20,0.2947,27,0.3958,0,0,0,0
Glebe - Forest Lodge,Truck,12,0.4734,20,0.884,27,1.1875,0,0,0,0
Glebe - Forest Lodge,Motorbike,108,1.4203,71,1.0461,27,0.3958,33,0.4847,49,0.7539
Glebe - Forest Lodge,Bicycle,382,5.0237,174,2.5637,135,1.9776,90,1.3205,88,1.3552
Glebe - Forest Lodge,Walked only,1340,17.6223,1095,16.1338,923,13.5238,884,12.9836,979,15.0956
Glebe - Forest Lodge,Other,59,0.7759,67,0.9872,52,0.7609,70,1.0253,47,0.7231
Glebe - Forest Lodge,Worked at home,400,5.2604,332,4.8917,367,5.3743,280,4.1173,251,3.876
Glebe - Forest Lodge,Did not go to work,680,8.9427,632,9.3119,632,9.2592,696,10.2177,489,7.5362
Glebe - Forest Lodge,Not stated,47,0.6181,107,1.5765,85,1.2446,84,1.2324,223,3.4382
Glebe - Forest Lodge,Total employed persons aged 15+,7604,100,6787,100,6821,100,6808,100,6486,100
Haymarket,Train,530,17.1799,247,12.2189,125,9.1976,44,10.3278,25,18.6253
Haymarket,Bus,495,16.0454,342,16.9261,197,14.5641,48,11.2795,23,17.184
Haymarket,Tram or Ferry,31,1.0049,16,0.7911,16,1.1811,5,1.2689,0,0
Haymarket,Taxi,66,2.1394,28,1.3864,14,1.063,20,4.6176,4,2.6608
Haymarket,Car - as driver,311,10.081,218,10.7929,185,13.6414,71,16.5668,9,6.8736
Haymarket,Car - as passenger,40,1.2966,48,2.3635,37,2.7312,11,2.6436,3,1.9956
Haymarket,Truck,6,0.1945,0,0,0,0,0,0,0,0
Haymarket,Truck,6,0.5835,0,0,0,0,0,0,0,0
Haymarket,Motorbike,7,0.2269,6,0.2967,0,0.0221,3,0.6345,0,0.3326
Haymarket,Bicycle,17,0.5511,0,0.0119,0,0.0221,3,0.6345,3,1.9956
Haymarket,Walked only,992,32.1556,736,36.3719,449,33.1217,115,26.9651,36,26.6075
Haymarket,Other,135,4.376,32,1.606,39,2.9084,11,2.6789,0,0
Haymarket,Worked at home,52,1.6856,48,2.3971,31,2.2662,15,3.5601,3,1.9956
Haymarket,Did not go to work,360,11.6694,257,12.6995,237,17.4799,75,17.5537,20,14.6341
Haymarket,Not stated,49,1.5883,43,2.138,24,1.8011,5,1.2689,10,7.0953
Haymarket,Total employed persons aged 15+,3085,100,2022,100,1355,100,426,100,135,100
Kings Cross,Train,785,31.1652,600,31.0006,581,30.2487,601,29.45,450,31.6702
Kings Cross,Bus,139,5.5181,111,5.7276,106,5.4941,137,6.6915,173,12.1343
Kings Cross,Tram or Ferry,0,0,3,0.1549,3,0.1562,0,0,0,0
Kings Cross,Taxi,99,3.9402,39,2.0142,72,3.7339,74,3.6448,50,3.5478
Kings Cross,Car - as driver,344,13.6625,296,15.2821,286,14.8991,307,15.0596,158,11.0865
Kings Cross,Car - as passenger,29,1.1423,44,2.2647,33,1.7237,60,2.9634,28,1.9691
Kings Cross,Truck,4,0.1588,3,0.1549,6,0.3125,0,0,0,0
Kings Cross,Truck,4,0.4764,3,0.4648,6,0.9374,0,0,0,0
